route_short_name,stop_id,dep_time_min,lateness_minutes,horizon_minutes,date
23,266,1012.0,-5.4,-29.95,2026-08-31
23,447,1030.0,12.33,-29.95,2026-08-27
48,1072,1064.0,6.75,-29.95,2026-09-05
42,2386,287.0,9.65,-29.95,2026-09-05
42,2507,1309.0,-2.38,-29.93,2026-09-10
10,0480,866.0,7.07,-29.93,2026-09-07
26,903,474.0,-9.35,-29.93,2026-08-31
108,4517,970.0,1.48,-29.93,2026-09-01
51,6026,499.0,-2.27,-29.93,2026-09-11
3,9036,539.0,6.1,-29.93,2026-09-03
9,4120,339.0,8.2,-29.93,2026-09-09
1,1194,176.0,4.1,-29.93,2026-09-04
61,3386,979.0,0.0,-29.93,2026-09-02
4,6128,516.0,0.0,-29.93,2026-09-14
28,1456,725.0,16.57,-29.93,2026-09-12
51,3462,356.0,13.88,-29.93,2026-09-02
35,9018,573.0,1.48,-29.93,2026-09-15
57,5722,1013.0,-1.22,-29.93,2026-09-02
4,3434,748.0,-3.45,-29.93,2026-08-25
1,9020,846.0,17.78,-29.93,2026-09-11
108,6139,993.0,-2.72,-29.93,2026-09-10
48,1049,466.0,6.85,-29.93,2026-09-04
10,1857,945.0,0.58,-29.93,2026-09-06
3,1975,869.0,-3.87,-29.93,2026-08-26
35,2032,584.0,1.48,-29.93,2026-09-15
51,0885,1126.0,-0.47,-29.93,2026-09-08
45,4500,1009.0,13.8,-29.93,2026-09-02
61,6119,954.0,-3.17,-29.93,2026-09-06
39,3016,886.0,17.92,-29.93,2026-08-28
2,0722,946.0,26.65,-29.93,2026-09-11
39,83,335.0,8.37,-29.93,2026-09-02
90,6002,1036.0,-8.12,-29.93,2026-08-31
57,5772,1070.0,-15.83,-29.93,2026-08-31
4,6129,855.0,9.9,-29.93,2026-08-27
110,3425,754.0,-1.0,-29.93,2026-08-30
42,2498,904.0,-5.2,-29.92,2026-09-06
7,766,329.0,10.13,-29.92,2026-08-27
44,2435,457.0,1.35,-29.92,2026-09-04
45,1458,950.0,0.35,-29.92,2026-09-06
61,3385,870.0,12.3,-29.92,2026-09-04
10,1987,956.0,3.12,-29.92,2026-09-06
48,1094,727.0,9.38,-29.92,2026-09-04
13,1040,886.0,9.35,-29.92,2026-09-09
51,3463,879.0,17.18,-29.92,2026-08-28
51,3462,306.0,0.0,-29.92,2026-09-04
61,3383,972.0,0.0,-29.92,2026-09-02
108,2384,1018.0,4.83,-29.92,2026-08-25
9,4120,813.0,3.27,-29.92,2026-09-09
10,24,544.0,10.15,-29.92,2026-08-24
7,1593,335.0,12.12,-29.92,2026-08-26
57,5718,547.0,0.12,-29.92,2026-09-01
13,532,315.0,-1.7,-29.92,2026-08-31
48,4800,482.0,7.38,-29.92,2026-09-04
45,3142,1008.0,15.72,-29.92,2026-09-04
61,0851,921.0,-0.68,-29.92,2026-09-06
107,1853,974.0,0.0,-29.92,2026-09-01
1,0864,963.0,4.87,-29.92,2026-09-06
61,834,1097.0,0.0,-29.9,2026-08-23
107,3459,1188.0,10.05,-29.9,2026-09-02
101,1283,936.0,-6.4,-29.9,2026-09-06
1,1197,1195.0,-8.17,-29.9,2026-09-06
108,829,1054.0,1.63,-29.9,2026-08-26
39,2328,950.0,13.92,-29.9,2026-09-11
1,9156,997.0,18.17,-29.9,2026-09-06
42,2386,272.0,12.22,-29.9,2026-09-15
70,1810,1038.0,3.62,-29.9,2026-08-26
51,3462,356.0,13.17,-29.9,2026-09-11
51,806,1099.0,-3.55,-29.9,2026-08-27
35,3453,363.0,0.0,-29.9,2026-09-13
42,2547,823.0,-7.63,-29.9,2026-08-30
39,6002,1258.0,-6.52,-29.9,2026-09-03
66,1456,813.0,-7.13,-29.9,2026-08-27
61,833,1096.0,0.0,-29.9,2026-08-23
7,1588,334.0,0.0,-29.9,2026-09-10
51,6021,916.0,0.0,-29.9,2026-08-25
51,0860,1174.0,-5.85,-29.9,2026-09-11
44,0901,595.0,-0.75,-29.9,2026-09-04
23,0341,1117.0,0.0,-29.9,2026-09-12
42,2709,937.0,0.0,-29.9,2026-08-28
66,2167,801.0,-22.17,-29.9,2026-08-27
108,2505,965.0,12.43,-29.9,2026-09-14
1,640,1017.0,-1.92,-29.9,2026-08-28
51,0826,846.0,16.32,-29.9,2026-09-11
1,1382,167.0,4.37,-29.9,2026-09-04
103,2613,352.0,0.0,-29.9,2026-09-05
110,3425,528.0,-1.18,-29.9,2026-08-27
4,3372,400.0,0.32,-29.9,2026-09-10
57,5719,407.0,-4.42,-29.9,2026-09-04
44,2316,943.0,0.62,-29.9,2026-09-06
39,3025,964.0,-8.62,-29.88,2026-09-06
44,0901,1012.0,0.0,-29.88,2026-09-11
2,0728,1348.0,0.0,-29.88,2026-09-06
43,14,455.0,0.0,-29.88,2026-09-02
61,1424,920.0,-0.15,-29.88,2026-09-06
38,0650,464.0,11.78,-29.88,2026-09-14
42,3115,323.0,0.0,-29.88,2026-09-12
39,665,847.0,22.93,-29.88,2026-08-28
4,698,760.0,-6.15,-29.88,2026-08-25
39,2252,450.0,0.0,-29.88,2026-09-11
10,2462,1310.0,-0.08,-29.88,2026-09-01
51,1379,876.0,14.82,-29.88,2026-09-15
57,2639,1145.0,0.0,-29.88,2026-09-02
35,3516,944.0,0.27,-29.88,2026-08-28
42,2388,274.0,11.18,-29.88,2026-09-09
26,1386,331.0,-4.07,-29.88,2026-09-03
61,6624,860.0,19.43,-29.88,2026-09-02
108,2496,541.0,-3.67,-29.88,2026-09-02
51,1581,817.0,-2.63,-29.88,2026-08-26
45,1766,946.0,1.13,-29.88,2026-09-06
39,2181,449.0,0.0,-29.88,2026-09-11
307,1336,882.0,15.88,-29.88,2026-09-14
108,2384,1016.0,0.62,-29.88,2026-09-10
35,9017,512.0,4.05,-29.88,2026-09-14
26,9087,498.0,22.18,-29.88,2026-09-09
108,6138,967.0,-2.62,-29.88,2026-08-31
2,0709,1347.0,0.0,-29.88,2026-09-06
26,1473,1172.0,15.52,-29.88,2026-09-13
5,1894,544.0,10.45,-29.88,2026-09-10
48,1049,381.0,0.0,-29.88,2026-09-01
1,1380,889.0,3.08,-29.88,2026-09-06
23,0353,839.0,0.32,-29.88,2026-09-05
7,0014,957.0,5.15,-29.88,2026-09-06
48,1629,559.0,9.52,-29.87,2026-09-05
70,1802,1035.0,4.28,-29.87,2026-09-04
4,741,743.0,-3.13,-29.87,2026-08-25
1,1664,1239.0,0.0,-29.87,2026-09-09
35,3524,1388.0,1.4,-29.87,2026-09-08
1,1152,1144.0,0.0,-29.87,2026-09-13
51,3464,909.0,2.85,-29.87,2026-09-15
26,9083,495.0,23.45,-29.87,2026-09-09
38,1153,854.0,11.37,-29.87,2026-09-05
48,2226,558.0,0.0,-29.87,2026-09-09
39,2144,968.0,-10.85,-29.87,2026-09-06
44,1800,898.0,-1.02,-29.87,2026-08-29
53,1228,903.0,0.0,-29.87,2026-08-27
1,1047,1240.0,0.0,-29.87,2026-09-09
53,1208,899.0,0.0,-29.87,2026-08-27
61,3383,972.0,9.6,-29.87,2026-08-25
51,860,1231.0,-6.88,-29.87,2026-08-27
45,4526,1018.0,0.0,-29.87,2026-09-03
22,2865,607.0,-20.35,-29.87,2026-08-28
70,1802,1110.0,0.0,-29.87,2026-08-27
7,2853,598.0,9.67,-29.87,2026-08-28
42,3051,928.0,5.63,-29.87,2026-09-06
4,0686,559.0,13.3,-29.87,2026-09-06
7,2853,1202.0,10.02,-29.87,2026-08-30
66,6618,1007.0,0.0,-29.87,2026-09-08
35,1807,1146.0,-1.22,-29.87,2026-08-26
13,2571,313.0,-0.65,-29.87,2026-08-31
5,2492,840.0,-5.42,-29.87,2026-09-05
1,0149,1147.0,0.0,-29.87,2026-09-13
44,1722,383.0,0.1,-29.87,2026-09-04
17,2182,1023.0,4.77,-29.87,2026-09-14
1,1662,971.0,18.68,-29.87,2026-09-06
26,1385,421.0,2.65,-29.87,2026-09-08
39,2462,438.0,0.0,-29.87,2026-09-11
108,2384,988.0,-1.67,-29.87,2026-08-28
39,3255,1230.0,7.75,-29.87,2026-09-03
108,2554,380.0,-5.48,-29.87,2026-08-25
11,9018,914.0,0.53,-29.87,2026-08-25
57,5701,1037.0,16.98,-29.85,2026-09-15
42,2108,305.0,0.0,-29.85,2026-09-05
13,566,1123.0,0.0,-29.85,2026-09-02
48,1072,1022.0,9.28,-29.85,2026-09-04
26,1555,1043.0,1.68,-29.85,2026-08-27
9,4924,916.0,13.45,-29.85,2026-09-05
35,1633,952.0,-2.83,-29.85,2026-09-06
103,0722,919.0,18.95,-29.85,2026-09-11
38,1478,474.0,5.47,-29.85,2026-09-08
7,2748,599.0,13.77,-29.85,2026-08-25
42,3200,398.0,8.5,-29.85,2026-09-14
10,94,951.0,0.83,-29.85,2026-08-25
2,726,602.0,-23.27,-29.85,2026-09-03
51,826,884.0,12.73,-29.85,2026-09-02
66,1824,510.0,-5.5,-29.85,2026-09-06
126,1165,971.0,9.23,-29.85,2026-09-04
51,3461,350.0,12.97,-29.85,2026-08-28
45,4500,1009.0,0.0,-29.85,2026-09-03
42,3975,1057.0,4.25,-29.85,2026-08-31
1,9017,1152.0,-0.15,-29.85,2026-09-06
57,5706,928.0,13.3,-29.85,2026-08-28
44,996,1103.0,0.0,-29.85,2026-08-27
103,97,1103.0,0.0,-29.85,2026-08-27
1,1379,1169.0,-2.88,-29.85,2026-09-06
9,4111,765.0,13.87,-29.85,2026-08-26
51,3461,270.0,14.2,-29.85,2026-09-01
26,981,1092.0,0.0,-29.85,2026-08-27
6,1173,890.0,19.03,-29.85,2026-09-10
45,4526,1018.0,10.9,-29.85,2026-08-26
103,2616,435.0,11.12,-29.85,2026-08-24
39,93,1256.0,-5.2,-29.83,2026-09-03
11,9020,475.0,-7.43,-29.83,2026-09-11
53,1600,1026.0,-3.52,-29.83,2026-08-31
90,2224,1020.0,-0.77,-29.83,2026-08-31
39,0789,393.0,0.0,-29.83,2026-09-11
7,2367,894.0,0.0,-29.83,2026-08-26
5,2492,564.0,0.0,-29.83,2026-09-12
30,2756,460.0,4.95,-29.83,2026-09-04
13,3304,906.0,3.27,-29.83,2026-09-02
44,0994,985.0,0.0,-29.83,2026-09-04
13,0504,997.0,7.48,-29.83,2026-09-06
39,2327,386.0,0.0,-29.83,2026-09-11
45,1023,1315.0,1.48,-29.83,2026-08-28
48,1761,854.0,0.0,-29.83,2026-09-10
42,2993,808.0,-0.33,-29.83,2026-08-30
45,2290,569.0,0.0,-29.83,2026-08-24
39,1883,394.0,0.0,-29.83,2026-09-11
42,2771,1112.0,14.8,-29.83,2026-08-27
42,1374,885.0,12.68,-29.83,2026-09-09
39,3074,960.0,-8.07,-29.83,2026-09-06
57,5741,1075.0,-0.78,-29.83,2026-09-02
42,3200,277.0,11.03,-29.83,2026-09-15
305,4918,889.0,5.93,-29.83,2026-09-09
9,4111,278.0,0.0,-29.83,2026-09-08
57,5717,547.0,-0.3,-29.83,2026-09-01
44,490,872.0,9.25,-29.83,2026-08-26
42,2709,1027.0,3.05,-29.83,2026-09-14
110,3425,1058.0,2.98,-29.82,2026-09-10
20,1541,720.0,-2.32,-29.82,2026-09-03
13,2570,1213.0,7.9,-29.82,2026-09-02
66,844,720.0,-1.9,-29.82,2026-08-27
51,1379,838.0,0.0,-29.82,2026-09-10
42,2772,1023.0,4.32,-29.82,2026-09-14
26,1559,447.0,-1.75,-29.82,2026-08-31
26,1564,1052.0,2.23,-29.82,2026-08-27
42,0888,361.0,0.0,-29.82,2026-09-11
38,1486,476.0,7.1,-29.82,2026-09-11
51,0861,1115.0,-5.97,-29.82,2026-09-10
1,0750,1170.0,-3.65,-29.82,2026-09-15
44,2432,455.0,1.45,-29.82,2026-09-04
35,9056,345.0,8.98,-29.82,2026-09-14
29,4008,990.0,10.75,-29.82,2026-09-06
107,3279,790.0,-11.17,-29.82,2026-09-08
4,759,1051.0,3.73,-29.82,2026-08-29
57,779,420.0,19.0,-29.82,2026-08-31
51,3464,1400.0,7.73,-29.82,2026-09-03
51,3462,416.0,19.0,-29.82,2026-08-31
48,1629,633.0,8.67,-29.82,2026-09-05
1,9019,1376.0,15.98,-29.82,2026-09-13
39,88,314.0,0.0,-29.82,2026-09-03
103,2622,305.0,8.0,-29.82,2026-09-03
7,322,336.0,10.28,-29.8,2026-09-03
1,0868,968.0,3.48,-29.8,2026-09-06
42,4205,1335.0,-8.48,-29.8,2026-09-10
30,2849,514.0,7.88,-29.8,2026-09-11
44,0901,954.0,0.0,-29.8,2026-09-04
57,2540,1045.0,-6.97,-29.8,2026-08-31
7,1593,335.0,10.13,-29.8,2026-09-15
13,1029,816.0,0.0,-29.8,2026-08-25
23,2744,945.0,0.72,-29.8,2026-09-06
42,2385,467.0,14.12,-29.8,2026-08-27
23,0447,984.0,0.0,-29.8,2026-09-06
57,5704,866.0,14.03,-29.8,2026-09-01
39,2462,1020.0,-11.85,-29.8,2026-09-01
110,3425,832.0,-1.02,-29.8,2026-08-30
39,3016,983.0,2.38,-29.8,2026-09-01
61,6165,968.0,1.98,-29.8,2026-09-06
103,2616,556.0,0.0,-29.8,2026-09-03
71,4527,982.0,7.05,-29.8,2026-09-14
126,0490,466.0,16.78,-29.8,2026-09-15
66,3906,799.0,-21.57,-29.8,2026-08-27
13,2887,881.0,8.82,-29.8,2026-09-10
57,5704,642.0,5.85,-29.8,2026-08-25
108,829,1019.0,6.72,-29.8,2026-08-25
110,1717,956.0,-0.87,-29.8,2026-08-27
1,1661,721.0,16.03,-29.8,2026-08-31
109,0815,984.0,0.0,-29.8,2026-09-06
108,99,1009.0,2.05,-29.8,2026-09-03
103,2613,729.0,8.5,-29.8,2026-09-04
68,0483,963.0,2.23,-29.8,2026-09-06
110,3425,1022.0,2.22,-29.8,2026-09-10
7,1588,334.0,0.0,-29.78,2026-09-14
39,2581,327.0,15.47,-29.78,2026-08-31
5,1832,1385.0,14.13,-29.78,2026-08-26
42,2386,252.0,11.73,-29.78,2026-09-01
307,9025,887.0,1.4,-29.78,2026-09-15
44,1705,461.0,-0.25,-29.78,2026-09-04
42,6880,1123.0,6.68,-29.78,2026-09-08
42,2558,1063.0,2.57,-29.78,2026-08-31
35,9019,979.0,6.55,-29.78,2026-09-03
48,1071,667.0,10.2,-29.78,2026-09-04
13,2194,432.0,-0.55,-29.78,2026-09-10
71,4536,1021.0,0.0,-29.78,2026-08-24
71,4536,1001.0,6.27,-29.78,2026-08-31
18,2771,872.0,10.57,-29.78,2026-09-10
1,1661,990.0,5.52,-29.78,2026-09-06
1,1283,1305.0,0.0,-29.78,2026-08-25
51,3462,336.0,0.0,-29.78,2026-08-28
42,2389,891.0,10.75,-29.78,2026-09-14
38,0149,460.0,5.12,-29.78,2026-09-14
51,3461,834.0,16.65,-29.78,2026-09-04
107,7201,950.0,0.0,-29.78,2026-09-03
110,3425,998.0,-1.82,-29.78,2026-08-26
1,9020,936.0,3.47,-29.78,2026-09-06
30,2755,519.0,7.67,-29.78,2026-09-11
48,3248,968.0,-5.25,-29.78,2026-09-06
30,2748,515.0,8.67,-29.78,2026-08-27
61,2969,956.0,0.0,-29.77,2026-09-06
108,2505,935.0,-1.52,-29.77,2026-08-31
26,0577,1007.0,23.68,-29.77,2026-09-07
103,1907,961.0,-14.75,-29.77,2026-09-06
36,1045,463.0,0.0,-29.77,2026-09-10
57,5702,963.0,12.57,-29.77,2026-09-11
110,1717,977.0,-2.5,-29.77,2026-09-15
57,5007,926.0,14.13,-29.77,2026-08-28
51,809,1224.0,-4.03,-29.77,2026-08-27
107,1690,480.0,-2.5,-29.77,2026-09-10
10,2238,954.0,0.0,-29.77,2026-09-06
103,2622,998.0,9.75,-29.77,2026-08-24
61,6112,954.0,0.0,-29.77,2026-09-06
48,4800,952.0,-14.52,-29.77,2026-09-06
30,2849,454.0,5.52,-29.77,2026-09-04
44,1703,953.0,0.0,-29.77,2026-09-06
11,0379,942.0,0.0,-29.77,2026-09-06
71,4545,1006.0,6.85,-29.77,2026-09-09
7,2344,956.0,5.77,-29.77,2026-09-06
42,2514,908.0,-7.55,-29.77,2026-09-06
57,5704,1150.0,0.0,-29.77,2026-09-03
1,1629,185.0,2.77,-29.77,2026-09-04
126,490,1050.0,0.0,-29.77,2026-09-02
51,3465,872.0,11.23,-29.77,2026-09-09
42,2499,1054.0,5.58,-29.77,2026-08-31
44,0986,956.0,0.82,-29.77,2026-09-05
51,826,423.0,13.87,-29.77,2026-09-02
9,4123,765.0,13.95,-29.77,2026-08-26
23,266,1168.0,-1.05,-29.75,2026-08-31
1,1629,1012.0,-1.52,-29.75,2026-08-28
66,6000,814.0,2.78,-29.75,2026-08-27
1,1192,946.0,2.27,-29.75,2026-09-06
42,3134,947.0,-2.23,-29.75,2026-09-06
45,2290,569.0,0.0,-29.75,2026-08-27
2,345,1207.0,17.95,-29.75,2026-08-25
44,2422,945.0,0.77,-29.75,2026-09-06
39,943,331.0,9.05,-29.75,2026-09-02
11,9019,935.0,0.0,-29.75,2026-09-06
71,4538,1023.0,0.0,-29.75,2026-08-25
35,3511,964.0,-5.73,-29.75,2026-09-06
42,3133,962.0,-9.48,-29.75,2026-09-06
48,1094,443.0,6.52,-29.75,2026-09-04
1,3026,1357.0,2.52,-29.75,2026-09-04
108,2505,1030.0,-4.18,-29.75,2026-08-31
42,2386,252.0,12.15,-29.75,2026-08-31
4,3430,763.0,-6.0,-29.75,2026-08-25
108,6138,1030.0,5.55,-29.75,2026-08-24
45,4536,1018.0,14.33,-29.75,2026-08-31
23,278,1167.0,-0.55,-29.75,2026-08-31
48,1094,1025.0,6.67,-29.75,2026-09-05
9,4123,814.0,2.43,-29.75,2026-09-09
1,0548,1337.0,0.0,-29.75,2026-09-04
108,2384,968.0,1.18,-29.75,2026-08-26
107,1396,873.0,-12.2,-29.75,2026-08-28
57,5701,1037.0,9.52,-29.75,2026-08-26
51,3464,421.0,16.4,-29.73,2026-09-14
2,0348,911.0,1.75,-29.73,2026-09-06
45,4540,1008.0,15.08,-29.73,2026-08-31
44,1728,896.0,0.0,-29.73,2026-09-04
57,5701,917.0,26.43,-29.73,2026-08-27
26,9085,919.0,0.0,-29.73,2026-09-06
103,2622,1392.0,6.73,-29.73,2026-08-24
2,4005,920.0,0.0,-29.73,2026-09-06
6,1511,921.0,0.0,-29.73,2026-09-06
43,2575,912.0,1.38,-29.73,2026-08-28
8,334,570.0,-1.9,-29.73,2026-08-24
71,4527,1002.0,5.63,-29.73,2026-09-11
101,0866,958.0,-0.22,-29.73,2026-09-06
39,2290,885.0,17.87,-29.73,2026-08-28
2,0723,708.0,15.08,-29.73,2026-09-05
48,1094,509.0,7.35,-29.73,2026-09-04
1,0872,610.0,10.72,-29.73,2026-09-15
110,0283,1335.0,2.0,-29.73,2026-09-14
57,5776,1040.0,17.07,-29.73,2026-08-27
66,25,715.0,1.43,-29.73,2026-08-27
44,2228,1425.0,0.0,-29.73,2026-08-31
66,2926,779.0,-0.4,-29.73,2026-09-03
9,4115,797.0,0.0,-29.73,2026-08-26
110,1717,487.0,0.55,-29.73,2026-09-09
10,3309,1009.0,-2.87,-29.73,2026-09-09
39,0088,314.0,9.8,-29.73,2026-09-14
66,6608,571.0,1.68,-29.73,2026-09-08
61,6624,413.0,14.4,-29.73,2026-08-28
110,3425,1146.0,1.42,-29.73,2026-09-10
57,5741,1063.0,11.08,-29.73,2026-08-27
23,2745,563.0,0.0,-29.73,2026-09-14
26,1446,972.0,-7.2,-29.73,2026-09-06
5,2482,1164.0,10.43,-29.73,2026-09-02
108,2418,540.0,-0.93,-29.73,2026-08-25
28,1872,715.0,15.75,-29.73,2026-09-12
23,0345,956.0,2.3,-29.72,2026-09-06
68,1977,1027.0,0.3,-29.72,2026-08-27
48,2420,1323.0,0.0,-29.72,2026-09-03
108,0099,935.0,2.02,-29.72,2026-09-15
26,1131,964.0,-6.2,-29.72,2026-09-06
57,2639,333.0,14.78,-29.72,2026-08-31
71,4509,1025.0,7.42,-29.72,2026-09-14
39,3016,1447.0,0.0,-29.72,2026-09-02
42,3200,277.0,0.0,-29.72,2026-09-14
5,2492,1164.0,10.95,-29.72,2026-09-02
1,629,1015.0,-1.23,-29.72,2026-08-28
103,2622,420.0,8.97,-29.72,2026-08-25
103,0722,711.0,-1.7,-29.72,2026-09-04
42,2785,1195.0,-6.27,-29.72,2026-08-24
126,1388,939.0,10.72,-29.72,2026-09-10
42,1374,250.0,0.0,-29.72,2026-08-28
39,83,313.0,10.32,-29.72,2026-08-28
39,3017,1448.0,0.0,-29.72,2026-09-02
38,3123,643.0,9.52,-29.72,2026-09-05
7,1588,334.0,9.33,-29.72,2026-08-27
42,1815,1154.0,0.0,-29.72,2026-09-06
10,3175,543.0,0.0,-29.72,2026-08-26
103,2622,852.0,10.88,-29.72,2026-08-25
61,6624,961.0,-5.95,-29.72,2026-09-06
35,3454,1006.0,0.0,-29.72,2026-08-26
7,2366,605.0,8.57,-29.72,2026-08-28
109,2124,703.0,0.0,-29.7,2026-08-25
3,9034,1116.0,0.0,-29.7,2026-09-08
1,639,1016.0,-1.72,-29.7,2026-08-28
8,382,573.0,-2.87,-29.7,2026-08-24
42,2553,1091.0,-5.12,-29.7,2026-08-29
39,3254,1174.0,0.1,-29.7,2026-09-11
39,2581,1446.0,0.0,-29.7,2026-09-02
42,2389,755.0,10.15,-29.7,2026-09-07
24,2775,804.0,0.0,-29.7,2026-09-14
66,1592,786.0,-1.62,-29.7,2026-09-03
1,1656,752.0,0.0,-29.7,2026-08-26
61,3383,417.0,13.43,-29.7,2026-08-28
3,78,811.0,-3.93,-29.7,2026-08-27
57,5719,982.0,-4.02,-29.7,2026-09-02
126,1563,1105.0,0.0,-29.7,2026-09-14
1,4000,1356.0,3.07,-29.7,2026-09-04
110,3425,439.0,-1.48,-29.7,2026-08-24
57,2639,1004.0,0.0,-29.7,2026-09-01
1,0831,940.0,2.07,-29.7,2026-09-06
7,1582,334.0,10.15,-29.7,2026-08-25
39,2328,853.0,11.85,-29.7,2026-09-02
39,2331,711.0,-0.77,-29.7,2026-09-01
